freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.5988995412890117,-0.4111646741089995,0.2063415974328446,0.3346518119193481,freehms,1
0.5988995412890117,1,-0.4504292643718914,0.1890494750601012,0.346359664902803,gincdif,1
-0.4111646741089995,-0.4504292643718914,1,-0.06531539711357133,-0.15739793597239557,lrscale,1
0.2063415974328446,0.1890494750601012,-0.06531539711357133,1,0.5275910104915315,impcntr,1
0.3346518119193481,0.346359664902803,-0.15739793597239557,0.5275910104915315,1,euftf,1
1,0.4299991003171276,0.2639679828659997,-0.19639014190291118,0.13587327265146035,freehms,2
0.4299991003171276,1,0.15835061337162248,-0.4274572121153847,0.022273565314130425,gincdif,2
0.2639679828659997,0.15835061337162248,1,0.22325774056036604,0.040759612811169764,lrscale,2
-0.19639014190291118,-0.4274572121153847,0.22325774056036604,1,0.31287179319632596,impcntr,2
0.13587327265146035,0.022273565314130425,0.040759612811169764,0.31287179319632596,1,euftf,2
1,0.4818711910870734,-0.13042592003573322,0.3052875530298287,-0.24148063335317374,freehms,3
0.4818711910870734,1,-0.32811339579821,0.3955880366474811,-0.3023521898875012,gincdif,3
-0.13042592003573322,-0.32811339579821,1,-0.1289687976742607,0.6030380581324944,lrscale,3
0.3052875530298287,0.3955880366474811,-0.1289687976742607,1,-0.01849989508085869,impcntr,3
-0.24148063335317374,-0.3023521898875012,0.6030380581324944,-0.01849989508085869,1,euftf,3
1,-0.6187250491137556,0.04064305560228506,0.4348203570090107,0.26607696765652705,freehms,4
-0.6187250491137556,1,0.1728348525776895,-0.17940342091225872,-0.11031433528957263,gincdif,4
0.04064305560228506,0.1728348525776895,1,-0.060546175981542424,-0.21589628615714984,lrscale,4
0.4348203570090107,-0.17940342091225872,-0.060546175981542424,1,0.2890266960284985,impcntr,4
0.26607696765652705,-0.11031433528957263,-0.21589628615714984,0.2890266960284985,1,euftf,4
