freehms,gincdif,lrscale,impcntr,euftf,item,group
1,-0.46210008174331996,-0.07086829146893146,0.1576843102765709,0.11485346122192612,freehms,1
-0.46210008174331996,1,-0.08574769507921237,0.23438849226474506,-0.004065431062522884,gincdif,1
-0.07086829146893146,-0.08574769507921237,1,-0.09135125828195732,-0.019328504111555306,lrscale,1
0.1576843102765709,0.23438849226474506,-0.09135125828195732,1,0.16487010493262966,impcntr,1
0.11485346122192612,-0.004065431062522884,-0.019328504111555306,0.16487010493262966,1,euftf,1
1,0.6172273924519498,-0.15888480137305933,0.0034006413831921874,-0.04767576629593845,freehms,2
0.6172273924519498,1,-0.20297864112232616,-0.0646131217426076,-0.031797843445104626,gincdif,2
-0.15888480137305933,-0.20297864112232616,1,0.558782525591395,0.09247205624352839,lrscale,2
0.0034006413831921874,-0.0646131217426076,0.558782525591395,1,0.15242465463245794,impcntr,2
-0.04767576629593845,-0.031797843445104626,0.09247205624352839,0.15242465463245794,1,euftf,2
1,0.08207544749115932,0.1599260759184157,-0.13699670139793085,-0.02092713785409811,freehms,3
0.08207544749115932,1,0.24106700472701106,0.22266894070546195,0.08511878199308419,gincdif,3
0.1599260759184157,0.24106700472701106,1,0.05316745262124919,-0.11413687123855919,lrscale,3
-0.13699670139793085,0.22266894070546195,0.05316745262124919,1,0.30912466493403584,impcntr,3
-0.02092713785409811,0.08511878199308419,-0.11413687123855919,0.30912466493403584,1,euftf,3
1,0.4571249704900738,-0.42200833796768034,0.4305299938357064,0.09036888071153919,freehms,4
0.4571249704900738,1,-0.26168858674477025,0.3667844515331343,0.06540436790068474,gincdif,4
-0.42200833796768034,-0.26168858674477025,1,-0.18576376883807422,-0.0467590967821637,lrscale,4
0.4305299938357064,0.3667844515331343,-0.18576376883807422,1,0.05512746729784571,impcntr,4
0.09036888071153919,0.06540436790068474,-0.0467590967821637,0.05512746729784571,1,euftf,4
