freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.5225675219785273,-0.4899195675877198,0.32426167541115525,0.12386389973333362,freehms,1
0.5225675219785273,1,-0.2554827516108445,0.12673317942942255,0.003727092156734927,gincdif,1
-0.4899195675877198,-0.2554827516108445,1,-0.3003400052454059,-0.10762840252095869,lrscale,1
0.32426167541115525,0.12673317942942255,-0.3003400052454059,1,0.27511165959199485,impcntr,1
0.12386389973333362,0.003727092156734927,-0.10762840252095869,0.27511165959199485,1,euftf,1
1,-0.33850307295981186,0.04936484029609012,0.17034713204413596,0.2556294955511468,freehms,2
-0.33850307295981186,1,-0.08231472948478201,0.054342340464540353,-0.043694869431053183,gincdif,2
0.04936484029609012,-0.08231472948478201,1,0.06385529745184892,0.22231237440669405,lrscale,2
0.17034713204413596,0.054342340464540353,0.06385529745184892,1,0.06821145819923853,impcntr,2
0.2556294955511468,-0.043694869431053183,0.22231237440669405,0.06821145819923853,1,euftf,2
1,-0.13839765221135797,0.46974341752171733,-0.2715176847015711,-0.3218653735056565,freehms,3
-0.13839765221135797,1,-0.012015086531470527,0.2136918461229385,0.39055132656065755,gincdif,3
0.46974341752171733,-0.012015086531470527,1,-0.1371899027515348,-0.1650148732732007,lrscale,3
-0.2715176847015711,0.2136918461229385,-0.1371899027515348,1,0.2551108634648183,impcntr,3
-0.3218653735056565,0.39055132656065755,-0.1650148732732007,0.2551108634648183,1,euftf,3
