freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.22331991304443885,0.20689702986186032,0.05452929896251033,0.1380472520632672,freehms,1
0.22331991304443885,1,0.36914759752375564,-0.02688084877954189,0.026949120700628208,gincdif,1
0.20689702986186032,0.36914759752375564,1,-0.06991787995246668,-0.18666483757097804,lrscale,1
0.05452929896251033,-0.02688084877954189,-0.06991787995246668,1,0.40487896734176404,impcntr,1
0.1380472520632672,0.026949120700628208,-0.18666483757097804,0.40487896734176404,1,euftf,1
1,-0.5490836204570639,0.15434486590984334,0.4637330487138872,0.34365435831837937,freehms,2
-0.5490836204570639,1,-0.09585709615299245,-0.11343647031807157,-0.059167399552165614,gincdif,2
0.15434486590984334,-0.09585709615299245,1,0.07823735534240228,0.10306921958499254,lrscale,2
0.4637330487138872,-0.11343647031807157,0.07823735534240228,1,0.21553003145710453,impcntr,2
0.34365435831837937,-0.059167399552165614,0.10306921958499254,0.21553003145710453,1,euftf,2
1,0.6589367008646934,0.01939548849250715,0.12961403019468595,0.0339000361868557,freehms,3
0.6589367008646934,1,-0.17478485277434486,-0.15139495206584955,-0.20684775043496909,gincdif,3
0.01939548849250715,-0.17478485277434486,1,0.5343783719398641,0.3690155102393471,lrscale,3
0.12961403019468595,-0.15139495206584955,0.5343783719398641,1,0.24870500644642293,impcntr,3
0.0339000361868557,-0.20684775043496909,0.3690155102393471,0.24870500644642293,1,euftf,3
