freehms,gincdif,lrscale,impcntr,euftf,item,group
1,-0.516593783877302,0.1324010148791489,0.46916194685600604,0.3200690546467745,freehms,1
-0.516593783877302,1,0.025546881090163204,-0.2536776238604285,-0.18355080110282804,gincdif,1
0.1324010148791489,0.025546881090163204,1,0.3545473018636212,0.46692428559502436,lrscale,1
0.46916194685600604,-0.2536776238604285,0.3545473018636212,1,0.5948828532020131,impcntr,1
0.3200690546467745,-0.18355080110282804,0.46692428559502436,0.5948828532020131,1,euftf,1
1,0.0283416568082701,0.35588993174443145,0.3112322782275269,0.38832555875247515,freehms,2
0.0283416568082701,1,-0.11867825397320304,0.246669562153377,0.2138648701844294,gincdif,2
0.35588993174443145,-0.11867825397320304,1,0.156758348390079,0.10660753094932607,lrscale,2
0.3112322782275269,0.246669562153377,0.156758348390079,1,0.2967204617955596,impcntr,2
0.38832555875247515,0.2138648701844294,0.10660753094932607,0.2967204617955596,1,euftf,2
1,-0.14998890519834673,0.21771780820976191,0.517971082987364,-0.10661315380307183,freehms,3
-0.14998890519834673,1,0.06249758457986246,-0.37937725201512296,0.12368216026334823,gincdif,3
0.21771780820976191,0.06249758457986246,1,0.2776923239425909,0.3638931812263344,lrscale,3
0.517971082987364,-0.37937725201512296,0.2776923239425909,1,0.15271616342901664,impcntr,3
-0.10661315380307183,0.12368216026334823,0.3638931812263344,0.15271616342901664,1,euftf,3
1,0.4952464261055426,-0.11158481170313922,-0.13637292613078228,0.21596043587909863,freehms,4
0.4952464261055426,1,-0.09798729383209048,0.17255366975081513,-0.16346592223285297,gincdif,4
-0.11158481170313922,-0.09798729383209048,1,0.36408540048259436,0.14307926300141338,lrscale,4
-0.13637292613078228,0.17255366975081513,0.36408540048259436,1,-0.08807793005214314,impcntr,4
0.21596043587909863,-0.16346592223285297,0.14307926300141338,-0.08807793005214314,1,euftf,4
