freehms,gincdif,lrscale,impcntr,euftf,item,group
1,-0.0136234683611252,0.10893168621324954,0.026475556053910082,0.09907474960637501,freehms,1
-0.0136234683611252,1,0.0815027583654979,-0.2079100800492548,-0.21294502274577765,gincdif,1
0.10893168621324954,0.0815027583654979,1,0.04060713928683077,-0.04470278877696014,lrscale,1
0.026475556053910082,-0.2079100800492548,0.04060713928683077,1,0.3720319441301271,impcntr,1
0.09907474960637501,-0.21294502274577765,-0.04470278877696014,0.3720319441301271,1,euftf,1
1,0.22732595765424407,-0.40335547701584323,0.444096194871403,0.2968668558160721,freehms,2
0.22732595765424407,1,-0.31248707419372507,0.3412202857426845,0.21258849675813676,gincdif,2
-0.40335547701584323,-0.31248707419372507,1,-0.2010832909354433,-0.12631904145289694,lrscale,2
0.444096194871403,0.3412202857426845,-0.2010832909354433,1,0.26605763487623996,impcntr,2
0.2968668558160721,0.21258849675813676,-0.12631904145289694,0.26605763487623996,1,euftf,2
