idno,freehms,gincdif,lrscale,impcntr,euftf,group
1,0.5,0.5,0,-0.33333333333333326,0.8,2
2,0.5,-0,-0.19999999999999996,0.33333333333333337,-0.4,3
3,1,-0,-0.8,1,0,1
4,0.5,-0,0,1,0,2
5,1,-0,0,1,0.8,1
6,-1,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,2
7,1,-0,-0.4,1,1,1
8,1,1,-0.19999999999999996,0.33333333333333337,1,1
9,0.5,0.5,0,0.33333333333333337,-0.4,3
10,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.19999999999999996,1
11,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,1
12,0.5,-0,0.19999999999999996,-0.33333333333333326,-0.6,3
13,1,0.5,-0.4,0.33333333333333337,0,1
14,1,1,-0.19999999999999996,0.33333333333333337,-0.19999999999999996,3
15,0.5,1,-1,0.33333333333333337,0.3999999999999999,1
16,0.5,1,0,0.33333333333333337,0.3999999999999999,3
17,1,0.5,-0.4,1,0.19999999999999996,1
18,1,0.5,-0.19999999999999996,0.33333333333333337,0,3
19,1,0.5,0.6000000000000001,-0.33333333333333326,-0.6,3
20,0.5,0.5,0,0.33333333333333337,1,1
21,-1,0.5,0,0.33333333333333337,0,2
22,1,0.5,0,1,0.19999999999999996,1
23,1,-0,0,-1,-1,3
24,1,1,-0.8,-1,0.8,2
25,0.5,-0,-0.4,0.33333333333333337,0.6000000000000001,1
26,0.5,0.5,0.6000000000000001,-0.33333333333333326,-0.8,3
27,-1,0.5,0,0.33333333333333337,1,3
28,0.5,0.5,-0.4,1,1,1
29,1,0.5,0,0.33333333333333337,-0.19999999999999996,3
30,1,0.5,0,0.33333333333333337,0.3999999999999999,1
31,1,-0.5,0,1,-0.19999999999999996,2
32,-0,-1,0,-0.33333333333333326,0.19999999999999996,2
33,1,-0.5,-0.4,0.33333333333333337,0.6000000000000001,1
34,0.5,0.5,-0.6,-0.33333333333333326,-0.19999999999999996,3
35,0.5,1,-0.8,1,0,1
36,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,2
37,1,0.5,-0.19999999999999996,0.33333333333333337,1,1
38,1,1,0.19999999999999996,1,1,1
39,0.5,0.5,0.6000000000000001,-0.33333333333333326,0.8,2
40,1,1,-1,0.33333333333333337,1,1
41,1,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,3
42,1,0.5,0,0.33333333333333337,1,1
43,1,-0,0,0.33333333333333337,-0.19999999999999996,3
44,-0,0.5,0,0.33333333333333337,0.19999999999999996,2
45,0.5,-0.5,0,0.33333333333333337,0.3999999999999999,2
46,0.5,-0,0.19999999999999996,0.33333333333333337,0.6000000000000001,2
47,1,1,-0.6,0.33333333333333337,-0.4,3
48,0.5,-0.5,0.19999999999999996,-0.33333333333333326,0.3999999999999999,2
49,0.5,0.5,0,1,0.8,1
50,0.5,0.5,0,1,-0.4,3
51,0.5,-0.5,0.19999999999999996,0.33333333333333337,-0.19999999999999996,2
52,0.5,-0,0,-0.33333333333333326,0,2
53,1,1,-1,-0.33333333333333326,0,1
54,1,1,0,0.33333333333333337,1,1
55,0.5,0.5,0,-0.33333333333333326,-0.19999999999999996,3
56,0.5,-0,0.19999999999999996,-0.33333333333333326,-1,3
57,0.5,0.5,-0.4,-0.33333333333333326,-1,3
58,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,1
59,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.8,1
60,-0.5,0.5,0,-0.33333333333333326,0.6000000000000001,2
61,0.5,0.5,0,-0.33333333333333326,0.3999999999999999,2
62,1,-0.5,0,-0.33333333333333326,-1,3
63,-1,-0,0,-0.33333333333333326,1,3
64,1,0.5,0,0.33333333333333337,0.8,1
65,1,0.5,0,1,0.6000000000000001,1
66,1,1,-0.19999999999999996,0.33333333333333337,0.8,1
67,1,1,-0.4,0.33333333333333337,0.8,1
68,1,1,-1,1,1,1
69,1,1,-1,1,0.8,1
70,1,0.5,0,-0.33333333333333326,-0.4,3
71,0.5,1,-0.4,0.33333333333333337,0.3999999999999999,1
72,1,1,0.3999999999999999,1,1,1
73,1,-0.5,0,0.33333333333333337,0.3999999999999999,1
74,0.5,-1,0,0.33333333333333337,-0.19999999999999996,2
75,1,0.5,-0.8,1,0.19999999999999996,1
76,1,-0,-0.4,0.33333333333333337,0.8,1
77,1,0.5,-0.8,1,0,1
78,0.5,0.5,-0.8,1,1,1
79,0.5,-0.5,-0.4,0.33333333333333337,0.6000000000000001,1
80,0.5,0.5,0,-0.33333333333333326,1,2
81,1,0.5,0,-0.33333333333333326,0.6000000000000001,2
82,1,1,0,0.33333333333333337,0.3999999999999999,3
83,0.5,0.5,0,0.33333333333333337,1,1
84,-0,1,-0.4,1,-1,3
85,0.5,-0.5,-0.8,0.33333333333333337,-0.19999999999999996,1
86,1,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,3
87,0.5,-0,0,0.33333333333333337,-0.4,3
88,0.5,0.5,0,0.33333333333333337,0,3
89,0.5,0.5,0,0.33333333333333337,0.19999999999999996,1
90,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,1
91,1,-0,-0.19999999999999996,1,0,1
92,1,-0.5,-0.19999999999999996,1,1,1
93,1,1,-0.19999999999999996,0.33333333333333337,0.6000000000000001,1
94,0.5,1,0,0.33333333333333337,0,3
95,-0.5,-0.5,0,-0.33333333333333326,-0.4,1
96,1,0.5,0.19999999999999996,0.33333333333333337,0.19999999999999996,3
97,1,0.5,0,1,0.6000000000000001,1
98,1,0.5,0.19999999999999996,1,0.3999999999999999,1
99,0.5,1,0,1,0.6000000000000001,1
100,1,1,0.19999999999999996,1,0,3
101,0.5,-0,0,0.33333333333333337,0.6000000000000001,1
102,-1,1,1,0.33333333333333337,-1,1
103,1,1,0,0.33333333333333337,0.8,1
104,0.5,-0,-0.8,-0.33333333333333326,1,1
105,1,0.5,-0.6,-0.33333333333333326,0.19999999999999996,1
106,1,0.5,-1,0.33333333333333337,0.19999999999999996,1
107,-0.5,0.5,0,0.33333333333333337,-1,2
108,1,0.5,0.19999999999999996,0.33333333333333337,0.19999999999999996,3
109,1,0.5,0,0.33333333333333337,0,3
110,0.5,-0,0.6000000000000001,0.33333333333333337,-0.19999999999999996,1
111,1,1,-1,1,0.8,1
112,1,-0.5,0,0.33333333333333337,0,2
113,0.5,0.5,0,0.33333333333333337,0.3999999999999999,1
114,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,2
115,-0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.6000000000000001,2
116,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,1
117,0.5,1,0,-0.33333333333333326,1,2
118,1,1,0.3999999999999999,0.33333333333333337,-0.6,3
119,1,1,0,-0.33333333333333326,0.3999999999999999,3
120,0.5,-0,0,0.33333333333333337,0.19999999999999996,1
121,0.5,0.5,0,-0.33333333333333326,-0.6,3
122,0.5,0.5,0.19999999999999996,1,0.6000000000000001,1
123,1,1,0,-0.33333333333333326,0,3
124,0.5,0.5,-0.19999999999999996,-0.33333333333333326,-0.19999999999999996,3
125,1,1,-0.6,1,1,1
126,1,-0.5,0,0.33333333333333337,0,2
127,-1,1,1,0.33333333333333337,1,3
128,0.5,-0,0,1,0.6000000000000001,2
129,1,1,0.6000000000000001,-0.33333333333333326,0,3
130,1,1,-0.4,1,0.6000000000000001,1
131,1,0.5,-0.6,0.33333333333333337,1,1
132,0.5,0.5,0,-0.33333333333333326,0,3
133,1,1,0,0.33333333333333337,0.6000000000000001,1
134,1,1,-0.8,1,1,1
135,-0.5,-0.5,-0.19999999999999996,-1,-0.8,1
136,0.5,0.5,-0.8,0.33333333333333337,0.3999999999999999,1
137,1,1,-0.4,0.33333333333333337,0.6000000000000001,1
138,1,1,-0.6,1,0.6000000000000001,1
139,0.5,-0,-0.8,0.33333333333333337,0.3999999999999999,1
140,1,1,-0.6,0.33333333333333337,0.3999999999999999,1
141,0.5,0.5,-1,-0.33333333333333326,0.3999999999999999,1
142,0.5,0.5,0,1,0.6000000000000001,1
143,1,1,0,0.33333333333333337,0.19999999999999996,3
144,1,0.5,-0.6,0.33333333333333337,-0.4,1
145,0.5,1,0.19999999999999996,-0.33333333333333326,1,2
146,1,1,0.19999999999999996,-1,-1,3
147,-0.5,0.5,0,-0.33333333333333326,0,2
148,1,1,-0.6,-0.33333333333333326,0.3999999999999999,3
149,0.5,1,0,0.33333333333333337,0,3
150,0.5,0.5,0.19999999999999996,0.33333333333333337,-0.4,3
