freehms,gincdif,lrscale,impcntr,euftf,item,group
1,-0.1973199977645545,0.1611291231742751,0.17029020853078392,0.25096029481589743,freehms,1
-0.1973199977645545,1,-0.22796055430535325,0.34300622960009575,0.12977988186554182,gincdif,1
0.1611291231742751,-0.22796055430535325,1,-0.1824898040795318,0.05482599966711486,lrscale,1
0.17029020853078392,0.34300622960009575,-0.1824898040795318,1,0.1634847948625877,impcntr,1
0.25096029481589743,0.12977988186554182,0.05482599966711486,0.1634847948625877,1,euftf,1
1,0.2962189453521253,0.08466551248740875,0.15983543674084524,0.2034045182669394,freehms,2
0.2962189453521253,1,-0.026897852118722195,-0.22052859282079493,-0.06749565812669293,gincdif,2
0.08466551248740875,-0.026897852118722195,1,0.14356504108749996,0.18941163480255838,lrscale,2
0.15983543674084524,-0.22052859282079493,0.14356504108749996,1,0.3724535536595745,impcntr,2
0.2034045182669394,-0.06749565812669293,0.18941163480255838,0.3724535536595745,1,euftf,2
