freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.1479119224509423,-0.34344463754230137,0.509170115971666,0.2128494269537152,freehms,1
0.1479119224509423,1,-0.32414399727161236,0.29133199108483676,-0.02219436989243658,gincdif,1
-0.34344463754230137,-0.32414399727161236,1,-0.38504080684574465,0.05453764981906871,lrscale,1
0.509170115971666,0.29133199108483676,-0.38504080684574465,1,0.10392988586097357,impcntr,1
0.2128494269537152,-0.02219436989243658,0.05453764981906871,0.10392988586097357,1,euftf,1
1,-0.48836238191573217,0.41003507847075854,0.08728667785409963,0.19310423316268788,freehms,2
-0.48836238191573217,1,-0.06051570330761594,-0.1931057256628762,0.18469343372917182,gincdif,2
0.41003507847075854,-0.06051570330761594,1,0.06633402996381059,0.01053720933620632,lrscale,2
0.08728667785409963,-0.1931057256628762,0.06633402996381059,1,0.1386304666376735,impcntr,2
0.19310423316268788,0.18469343372917182,0.01053720933620632,0.1386304666376735,1,euftf,2
1,0.39770679603021225,-0.014872148308835273,-0.009485385874327644,-0.03671866249874235,freehms,3
0.39770679603021225,1,-0.051261819080274586,-0.12806213728608795,-0.04089648296866505,gincdif,3
-0.014872148308835273,-0.051261819080274586,1,0.216088302253373,0.004657990351154912,lrscale,3
-0.009485385874327644,-0.12806213728608795,0.216088302253373,1,0.03885066871267796,impcntr,3
-0.03671866249874235,-0.04089648296866505,0.004657990351154912,0.03885066871267796,1,euftf,3
