freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.4326858914155495,-0.37079319276304173,0.3724251139861326,0.1365168368884073,freehms,1
0.4326858914155495,1,-0.3460900216723966,0.18571205023464432,-0.05897619562069192,gincdif,1
-0.37079319276304173,-0.3460900216723966,1,-0.22750273023246512,0.11156217638601948,lrscale,1
0.3724251139861326,0.18571205023464432,-0.22750273023246512,1,0.1054782951258661,impcntr,1
0.1365168368884073,-0.05897619562069192,0.11156217638601948,0.1054782951258661,1,euftf,1
1,-0.22515571375125823,0.06467178222102293,0.2885263158617337,0.04395784444440651,freehms,2
-0.22515571375125823,1,-0.07900636330956205,0.17823870145044493,0.2192722963087279,gincdif,2
0.06467178222102293,-0.07900636330956205,1,-0.021124074348519505,-0.037387902982441545,lrscale,2
0.2885263158617337,0.17823870145044493,-0.021124074348519505,1,0.09609735952569215,impcntr,2
0.04395784444440651,0.2192722963087279,-0.037387902982441545,0.09609735952569215,1,euftf,2
1,0.21602774592412852,0.19015609575467773,-0.10836091589676758,-0.11145133786050349,freehms,3
0.21602774592412852,1,0.011593244010996623,0.16512517347581782,0.04042194581797522,gincdif,3
0.19015609575467773,0.011593244010996623,1,0.13300242195532583,-0.06244873866803427,lrscale,3
-0.10836091589676758,0.16512517347581782,0.13300242195532583,1,0.13056269494501163,impcntr,3
-0.11145133786050349,0.04042194581797522,-0.06244873866803427,0.13056269494501163,1,euftf,3
