freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.36613400980598315,-0.38972474874300467,0.43280622241649597,0.06570696355882034,freehms,1
0.36613400980598315,1,-0.46505827000973154,0.205964125785709,-0.1325758176080433,gincdif,1
-0.38972474874300467,-0.46505827000973154,1,-0.010126175827370944,0.11967602367417765,lrscale,1
0.43280622241649597,0.205964125785709,-0.010126175827370944,1,0.18698429061744215,impcntr,1
0.06570696355882034,-0.1325758176080433,0.11967602367417765,0.18698429061744215,1,euftf,1
1,0.3039646214512274,0.06811863382097595,-0.10105912257305144,0.047374599251163045,freehms,2
0.3039646214512274,1,4.996575471062287e-4,-0.2652938558228562,-0.13945350488024377,gincdif,2
0.06811863382097595,4.996575471062287e-4,1,0.21872724431838447,0.09133603891185846,lrscale,2
-0.10105912257305144,-0.2652938558228562,0.21872724431838447,1,0.23422534108275656,impcntr,2
0.047374599251163045,-0.13945350488024377,0.09133603891185846,0.23422534108275656,1,euftf,2
1,-0.5874597016868669,0.30462808422355,0.2370155157841472,0.20138389568967033,freehms,3
-0.5874597016868669,1,-0.07233561128664263,-1.0842751799837513e-4,0.07247362286024095,gincdif,3
0.30462808422355,-0.07233561128664263,1,0.031232975631073027,0.022252297066712074,lrscale,3
0.2370155157841472,-1.0842751799837513e-4,0.031232975631073027,1,0.268644443765051,impcntr,3
0.20138389568967033,0.07247362286024095,0.022252297066712074,0.268644443765051,1,euftf,3
