freehms,gincdif,lrscale,impcntr,euftf,item,group
1,-0.12326586946452907,0.33995028674683975,-0.1232863429590445,-0.01465078109472269,freehms,1
-0.12326586946452907,1,0.34091482802948225,-0.27095712609907274,-0.05750362674050047,gincdif,1
0.33995028674683975,0.34091482802948225,1,-0.030182898933798726,0.16606925842949996,lrscale,1
-0.1232863429590445,-0.27095712609907274,-0.030182898933798726,1,0.2150446751861944,impcntr,1
-0.01465078109472269,-0.05750362674050047,0.16606925842949996,0.2150446751861944,1,euftf,1
1,0.17509363761469904,-0.1253772120688957,0.259279848011189,0.39395662138102383,freehms,2
0.17509363761469904,1,-0.22220663330826104,0.15793569876806252,0.30137583810795127,gincdif,2
-0.1253772120688957,-0.22220663330826104,1,-0.1121648341580582,-0.22411733753537294,lrscale,2
0.259279848011189,0.15793569876806252,-0.1121648341580582,1,0.1607853885119277,impcntr,2
0.39395662138102383,0.30137583810795127,-0.22411733753537294,0.1607853885119277,1,euftf,2
1,0.4452492939182539,-0.1796964857266056,0.3616393285150632,-0.142264386411768,freehms,3
0.4452492939182539,1,-0.19710281802577187,0.1395947401968408,-0.2028866585502603,gincdif,3
-0.1796964857266056,-0.19710281802577187,1,0.04477360788959486,0.5255302623938846,lrscale,3
0.3616393285150632,0.1395947401968408,0.04477360788959486,1,0.12374525162707393,impcntr,3
-0.142264386411768,-0.2028866585502603,0.5255302623938846,0.12374525162707393,1,euftf,3
