freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.24179638221364363,0.0741500137310136,0.39473838096585717,0.05305391830471268,freehms,1
0.24179638221364363,1,0.14479509411902486,0.1034912451387378,0.3147672904770852,gincdif,1
0.0741500137310136,0.14479509411902486,1,-0.24622492359412276,0.39266436530791554,lrscale,1
0.39473838096585717,0.1034912451387378,-0.24622492359412276,1,-0.30131975595514204,impcntr,1
0.05305391830471268,0.3147672904770852,0.39266436530791554,-0.30131975595514204,1,euftf,1
1,0.4011885908024215,0.39843448673014037,-0.35465506827336424,-0.09007776503410184,freehms,2
0.4011885908024215,1,0.24064088645990653,-0.2472245028542753,-0.28108588981629423,gincdif,2
0.39843448673014037,0.24064088645990653,1,-0.1267954474220958,0.04653792828875478,lrscale,2
-0.35465506827336424,-0.2472245028542753,-0.1267954474220958,1,0.30410463410375205,impcntr,2
-0.09007776503410184,-0.28108588981629423,0.04653792828875478,0.30410463410375205,1,euftf,2
1,-0.5342850321437874,0.060548023504159235,0.5425539542989923,0.2771626238604369,freehms,3
-0.5342850321437874,1,0.17531098647739451,-0.2836933584078061,-0.06141989819954644,gincdif,3
0.060548023504159235,0.17531098647739451,1,-0.016667746983860792,-0.20030407879563736,lrscale,3
0.5425539542989923,-0.2836933584078061,-0.016667746983860792,1,0.4481963987135669,impcntr,3
0.2771626238604369,-0.06141989819954644,-0.20030407879563736,0.4481963987135669,1,euftf,3
1,0.4110987854472642,0.20347909599078998,0.2752015059860113,0.26142022767049644,freehms,4
0.4110987854472642,1,-0.29344209012023065,0.06817239381006915,-0.052555748643356555,gincdif,4
0.20347909599078998,-0.29344209012023065,1,0.3143784153242144,0.40560953950321843,lrscale,4
0.2752015059860113,0.06817239381006915,0.3143784153242144,1,-0.10077216218274614,impcntr,4
0.26142022767049644,-0.052555748643356555,0.40560953950321843,-0.10077216218274614,1,euftf,4
