"BehaviorSpace results (NetLogo 6.2.2)"
"coherence_FK.nlogo"
"conformityVariabilityInteraction-staticNetwork-groups_WIDE_RS06-10"
"11/09/2022 16:55:12:604 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-47","47","-47","47"
"[run number]","rand-seed","max_time","k_link","k","conformity_tendency","var_of_new_belief","prob_soc_infl","prob_self_check","set_agents","corol_mat_file","agent_data","link_health_ch","drop-bad-link","prob_add_link","prob_FoF","link_lonely?","max_num_links","no_repeat_link?","visualisations?","rearrange_every","show-old-links?","show-new-links?","only_group_shown","network_type","rewiring","neis","min_degree","clustering_exp","toroidial_world?","belief_shown","x_belief","y_belief","fuzz","group_shown","own_stamp","store_agents?","network_file","main_folder","store_metadata?","store_agents_filename","store_network_filename","storing_folder","store_metadata_filename","use_random_stamp?","store_network?","[step]","ticks","extremness","diversity","g1_ex","g1_dv","g2_ex","g2_dv","g3_ex","g3_dv","g4_ex","g4_dv","g5_ex","g5_dv","g6_ex","g6_dv","g7_ex","g7_dv","g8_ex","g8_dv","g9_ex","g9_dv","g10_ex","g10_dv","g11_ex","g11_dv","g12_ex","g12_dv"
"11","6","200","-1","33","0.15","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.872353427144802","0.7034800767171139","0.8510782894736841","0.46142572630571815","0.9482713513513517","0.22664616344005534","0.9025327014218002","0.2960400507521195","0.871381818181818","0.6165449602710367","0.8507544615384616","0.43889995744045185","0.8495707547169806","0.3869100510388628","0.8504908108108115","0.20221193645066263","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","6","200","-1","33","0.15","0.15","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8878423967317272","0.7229206592144954","0.8682894736842102","0.47623884863302024","0.955681081081081","0.2295223311873818","0.9162014218009482","0.2980498738142511","0.8894399999999998","0.6306966235585698","0.871696","0.44724199673075404","0.8608924528301889","0.39248196592794365","0.8656054054054054","0.20600038762185036","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13","6","200","-1","33","0.15","0.2","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8997822060826144","0.7378806725128161","0.8825434210526314","0.49255274389710363","0.9598389189189189","0.2324396870577199","0.9263772511848345","0.2953665858307824","0.9029761038961048","0.6454529294603788","0.888461538461538","0.45276374297287514","0.8676528301886796","0.4094309850905791","0.8786145945945949","0.19596112013443925","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14","6","200","-1","33","0.15","0.4","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9230150703586023","0.7670057117374005","0.9106243421052633","0.4994313985339399","0.9675048648648644","0.23707090211330878","0.9449218009478674","0.3011997856885249","0.9289511688311682","0.6779317745455519","0.9200701538461539","0.4652269122554215","0.8826415094339624","0.3926669726187041","0.905508108108109","0.2114982991142357","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16","6","200","-1","33","0.15","0.8","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9351408079891046","0.7829343088557237","0.9267723684210519","0.4985998391029656","0.971153513513514","0.23990652954122543","0.9539042654028442","0.28672305333579146","0.9411812987012989","0.700478662522631","0.9344184615384613","0.4719178445851343","0.8921009433962259","0.40720284032648096","0.9216194594594589","0.2112241730283695","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","6","200","-1","33","0.15","0.6","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9309836586473018","0.7779108993592267","0.9204934210526321","0.49903364117982674","0.9700259459459456","0.23925923872276159","0.9511085308056859","0.29368830844517996","0.9370618181818188","0.6970737177154465","0.9296387692307692","0.46957241947604916","0.8885622641509432","0.4078619592124421","0.9162913513513515","0.21138605948763903","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"18","6","200","-1","33","0.2","0.05","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8845259192010888","0.718060712020735","0.8701019736842108","0.4652815920377056","0.9507859459459462","0.22574440450820682","0.9150345971563982","0.305374186886876","0.8785485714285711","0.6190342816464109","0.864411076923077","0.443361385032966","0.8615518867924526","0.3879432260204589","0.8655021621621616","0.1937210981927216","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17","6","200","-1","33","0.2","0.01","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.8698539264639107","0.7032659388272922","0.8521677631578939","0.45853599481826873","0.9382940540540543","0.22216736228691847","0.9019336492890986","0.29980810085019227","0.8650597402597402","0.6086414262640898","0.8489046153846154","0.4366399795878076","0.8473537735849057","0.3824689048175237","0.8498589189189192","0.20471406914150947","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","6","200","-1","33","0.2","0.1","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9047810258738073","0.7422933047317185","0.8966190789473686","0.47401998320025873","0.9619189189189191","0.2305423796720965","0.9336914691943139","0.301664110998466","0.9001179220779221","0.6418474615555326","0.8892141538461541","0.45411515504665073","0.8799377358490569","0.39438966032932166","0.8827048648648651","0.19754836543651377","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21","6","200","-1","33","0.2","0.2","0.5","0.5","From File","DE/correlationsCCA.csv","DE/itemsCCA.csv","0.3","0","0","0.3","false","20","false","false","0","false","false","false","Watts","0.1","10","1","0.01","false","2","2","3","0.025","1","A00001","true","network.txt","","true","agent-data","network-data","","meta-data","true","false","200","200","0.9316146164321383","0.7753127330643725","0.9259210526315794","0.4929426772241804","0.971576216216216","0.23722646987756463","0.9536170616113745","0.2961704004334734","0.9313953246753245","0.6776725489898181","0.9252055384615387","0.46857903765352027","0.9022254716981131","0.39895441086524575","0.913914054054055","0.20018342422645388","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
