freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.13925798806457598,0.05031935206303728,0.13754424972495177,0.19916065830011395,freehms,1
0.13925798806457598,1,-0.4484675379571038,-0.1073526410012,-0.09267483234703029,gincdif,1
0.05031935206303728,-0.4484675379571038,1,0.3544279497723899,0.2729324566328982,lrscale,1
0.13754424972495177,-0.1073526410012,0.3544279497723899,1,0.09778031773000181,impcntr,1
0.19916065830011395,-0.09267483234703029,0.2729324566328982,0.09778031773000181,1,euftf,1
1,-0.2441975025929602,0.2904384687226596,0.21089840497534168,0.2473292882291574,freehms,2
-0.2441975025929602,1,-0.05995452596653839,-0.029266361291260857,-0.08593931886736787,gincdif,2
0.2904384687226596,-0.05995452596653839,1,-0.19607255726252834,-0.12112940749011958,lrscale,2
0.21089840497534168,-0.029266361291260857,-0.19607255726252834,1,0.20025884118776616,impcntr,2
0.2473292882291574,-0.08593931886736787,-0.12112940749011958,0.20025884118776616,1,euftf,2
1,0.22192253389110742,0.2656180886208322,0.024457615728456936,0.019397920823201454,freehms,3
0.22192253389110742,1,0.14808506956062528,-0.20060776807699718,-0.02030535776740568,gincdif,3
0.2656180886208322,0.14808506956062528,1,0.11659831051143404,-0.00514292355359332,lrscale,3
0.024457615728456936,-0.20060776807699718,0.11659831051143404,1,0.18540012798909491,impcntr,3
0.019397920823201454,-0.02030535776740568,-0.00514292355359332,0.18540012798909491,1,euftf,3
