freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.21234940623801857,-0.2776627769282319,0.4300510322219918,0.38936405053215895,freehms,1
0.21234940623801857,1,-0.1601029640827987,0.20834209505449788,0.17654405386155453,gincdif,1
-0.2776627769282319,-0.1601029640827987,1,-0.10675625855036981,-0.015063530352679728,lrscale,1
0.4300510322219918,0.20834209505449788,-0.10675625855036981,1,0.17847129558610517,impcntr,1
0.38936405053215895,0.17654405386155453,-0.015063530352679728,0.17847129558610517,1,euftf,1
1,-0.24709448946783882,0.3411459138202914,-0.12241939899725919,0.13777264653181895,freehms,2
-0.24709448946783882,1,-0.029664620597131073,-0.2877548471794259,0.20187306011446596,gincdif,2
0.3411459138202914,-0.029664620597131073,1,-0.013989563305906703,-0.07321469020714619,lrscale,2
-0.12241939899725919,-0.2877548471794259,-0.013989563305906703,1,0.10635970105267768,impcntr,2
0.13777264653181895,0.20187306011446596,-0.07321469020714619,0.10635970105267768,1,euftf,2
1,0.405721509508299,-0.09137488649865547,0.023342309536557835,-0.282474933001606,freehms,3
0.405721509508299,1,-0.0740476216454066,0.07818409657257086,-0.09615872912255091,gincdif,3
-0.09137488649865547,-0.0740476216454066,1,0.08732382917431732,0.2491804441974287,lrscale,3
0.023342309536557835,0.07818409657257086,0.08732382917431732,1,0.2333139103052426,impcntr,3
-0.282474933001606,-0.09615872912255091,0.2491804441974287,0.2333139103052426,1,euftf,3
