freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.008560296995615538,0.11618792601969825,0.0526754108066719,-0.015889866842326926,freehms,1
0.008560296995615538,1,0.03618263844484031,-0.04370984562445652,-0.06833871094887972,gincdif,1
0.11618792601969825,0.03618263844484031,1,-0.056775505359922616,-0.052350369821077145,lrscale,1
0.0526754108066719,-0.04370984562445652,-0.056775505359922616,1,0.25283690099688627,impcntr,1
-0.015889866842326926,-0.06833871094887972,-0.052350369821077145,0.25283690099688627,1,euftf,1
1,0.12993984616519663,-0.2998443660283247,0.4295664459420465,0.2572023357754253,freehms,2
0.12993984616519663,1,-0.3070755590571651,0.2287855613504157,0.14164512179665154,gincdif,2
-0.2998443660283247,-0.3070755590571651,1,-0.25859755426276954,-0.05619348089393722,lrscale,2
0.4295664459420465,0.2287855613504157,-0.25859755426276954,1,0.0752318058753603,impcntr,2
0.2572023357754253,0.14164512179665154,-0.05619348089393722,0.0752318058753603,1,euftf,2
