freehms,gincdif,lrscale,impcntr,euftf,item,group
1,0.38281722586454375,-0.28106616731681805,0.3710399471582203,0.07437965921001197,freehms,1
0.38281722586454375,1,-0.17865545312164308,0.18815101832429812,7.943817110315383e-5,gincdif,1
-0.28106616731681805,-0.17865545312164308,1,-0.0852693359612623,0.058886612452873716,lrscale,1
0.3710399471582203,0.18815101832429812,-0.0852693359612623,1,0.17203957368687636,impcntr,1
0.07437965921001197,7.943817110315383e-5,0.058886612452873716,0.17203957368687636,1,euftf,1
1,0.5426864408238045,0.22475541288445855,-0.17765694198213614,-0.052820206243180706,freehms,2
0.5426864408238045,1,0.16887082454646632,-0.1729114921250312,0.08247706075981982,gincdif,2
0.22475541288445855,0.16887082454646632,1,0.11400406702698934,-0.07026224054490204,lrscale,2
-0.17765694198213614,-0.1729114921250312,0.11400406702698934,1,0.2302410344578888,impcntr,2
-0.052820206243180706,0.08247706075981982,-0.07026224054490204,0.2302410344578888,1,euftf,2
1,-0.5293845451325662,0.21402833334393992,0.09420634051734136,0.11831455036086387,freehms,3
-0.5293845451325662,1,0.026517466627277893,0.1309192845268334,0.0327430759871784,gincdif,3
0.21402833334393992,0.026517466627277893,1,0.13108215224862393,-0.04866642967250492,lrscale,3
0.09420634051734136,0.1309192845268334,0.13108215224862393,1,0.12602277811145265,impcntr,3
0.11831455036086387,0.0327430759871784,-0.04866642967250492,0.12602277811145265,1,euftf,3
